明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
她还会扎针、拔罐子、接生、接骨、看红伤。	Hard 16 19 看红伤
大家都把“中国石”奉为至宝，寂寞的时候，捧着它看看，心里感到温暖；劳累的时候，捧着它看看，就忘记了劳累。	Complex 5 8 中国石
狐偃说：“用兵打仗并不排除欺诈，您可以骗楚军上钓啊。”	Complex 22 24 上钓
“逃荒去，债也赖了，会钱也不用解了，好打算，我们一块儿去！”	Hard 10 12 会钱
得胜的吴王非常骄傲，不听大家的建议，答应了勾践的请求。	Complex 21 23 勾践
这样我就能够拍下好几百张由反物质留在云室中的精美照片。	Hard 13 16 反物质
将军既帝室之胄，信义著于四海，总揽英雄，思贤如渴，若跨有荆、益，保其岩阻，西和诸戎，南抚彝、越，外结孙权，内修政理；待天下有变，则命一上将将荆州之兵以向宛洛，将军身率益州之众以出秦川，百姓有不箪食壶浆以迎将军者乎？	Hard 44 45 彝
威尔莫特等学者先给苏格兰黑面羊注射促性腺素，促使它排卵。	Hard 17 21 促性腺素
他的脚腕被蹭破了，因为他没穿袜子。	Complex 5 6 蹭
我把它放在身边的窗栏上，让它苏醒过来，那时它的生命的火焰跳动还是很微弱，它依然静静地伏着；我于是把几朵盛开的鲜花放在它的触须前面，让它可以有一点东西吃；正在这时一只鸫鸟在窗前响亮而又神气地唱起歌来，唱得嘹亮极了；、我不禁大声说:你听，这只小鸟歌唱得多愉快，那么你这小小的生命也必须恢复过来才是！	Hard 82 84 鸫鸟
至于公和私的关系，人和己的关系，应以人为先，正如孔子所说：“君子贵人而残己，先人而后己。”	Hard 30 37 君子贵人而残己
她记起祖父嘱咐她不要离开原来地方那一句话，便又为自己解释这想头的错误，以为祖父不来必是进城去或到什么熟人处去，被人拉着喝酒，一时不能脱身。	Complex 5 7 嘱咐
鲁达看时，只见郑屠挺在地下，口里只有出的气，没了入的气，动弹不得。	Hard 10 13 在地下
年轻人之所以为年轻人，并不是单看年纪轻，假如是单看年纪轻，我们倒看见有好些年纪轻轻的人，却已经成了老腐败，老顽固，甚至活的木乃伊——虽然还活着，但早已死了，而且死了几千年。	Complex 53 56 老顽固
四叔家里这回须雇男短工，还是忙不过来，另叫柳妈做帮手，杀鸡，宰鹅；然而柳妈是善女人，吃素，不杀生的，只肯洗器皿。	Hard 53 55 器皿
）也恍惚记得她身上那片不太鲜丽的蓝。	Complex 2 4 恍惚
“我就是叫作藤野严九郎的……。”	Complex 6 11 藤野严九郎
至如梁、柱、枋、標、门、窗、墙、瓦、植、阶、栏杆、隔扇、斗拱、正脊、垂脊、正吻、戗兽、正房、厢房、游廊、庭院、夹道等等。	Hard 8 9 標
我和村里的伙伴们经常来到这块白水边，在几株垂柳下脱光了衣服，走过一段湿润的沙地，跳入清凉的水中。	Complex 21 23 垂柳
这种颜色，我就叫它“阜平蓝”或是“山地蓝”吧。	Hard 10 13 阜平蓝
孩子们愉快地、心满意足地坐在泉井旁的石板上，观赏着清澈的泉水。	Complex 7 11 心满意足
他是那么潇洒地将花束抛向了乐手们，台下响起了激动人心的掌声，于是，郎朗又一次深深弯下腰，行了一个绅士派头的大礼，然后，沉静地端坐在钢琴前——钢琴那乌亮的板壁在灯光下反射的光泽，在我看来都具有了强烈的离情色彩。	Hard 99 101 离情
分群的时刻来到，老蜂王打算带着它的一半家口离窠而去，这时的景象就像蜂窠在进行有丝分裂。	Hard 21 25 离窠而去
曹操听到鼓声和呐喊声，就下令说：“江上雾很大，敌人忽然来攻，我们看不清虚实，不要轻易出动。	Complex 35 37 虚实
舒活舒活筋骨，抖擞抖擞精神，各做各的一份事去，“一年之计在于春”；刚起头儿，有的是工夫，有的是希望。	Hard 24 31 一年之计在于春
据说当时曾用狼粪来作燧，因为狼粪的烟可以直上云霄，远处容易看见，所以又称烽火台为狼烟台。	Hard 9 11 作燧
可是一查黄河近2000年来的表现，却叫人大吃一惊。	Complex 20 24 大吃一惊
不过，简短的诗可以有悠远的意味，收缩并不妨碍延长，仿佛我们要看得远些，每把眉眼颦蹙。	Hard 39 41 颦蹙
休息够了，一队黑狗子先走，想从小路走上峁去。	Hard 19 20 峁
笑了一阵，他忽然若有所思地说：“不过，人类也许应该从旅鼠身上学到点什么。	Hard 26 28 旅鼠
江理以“从者七人，二僧与俱”，组成一支浩浩荡荡的登山队，“一仆前持斧斤，剪伐丛莽，一仆鸣金继之，二三人肩糗执剑戟以随。”	Hard 29 35 一仆前持斧斤
人类基因组计划所发展起来的战略与技术使生物资源由原先的群体种质（野生与优质品种的种质）资源转变为序列化与信息性，技术带来的资源信息性又使它的保护更为困难。	Hard 29 31 种质
他用粉笔在黑板上一笔一画地写着：	Complex 8 12 一笔一画
今诸君苟不于此时植其基，勤其学，则将来万一因生计所迫，出而仕事，但任讲席，则必贻误学生；置身政界，则必贻误国家。	Hard 3 6 苟不于
在宇宙的大生命中，我们是多么卑微，多么渺小，而一滴一叶的活动生长合成了整个宇宙的进化运行。	Complex 19 21 渺小
沿着岩壁折缝，一个个地走将出来，薄纱轻绸，露出的身段翩然起舞。	Complex 26 30 翩然起舞
时云长在侧曰：“某闻管仲、乐毅乃春秋、战国名人，功盖寰宇；孔明自比此二人，毋乃太过？”	Hard 13 18 乐毅乃春秋
南亚的印度河——恒河流域，也是人类四大文明古国之一的印度的发源地。	Complex 10 12 流域
我的朋友们，“他说，“我的期友们，我，我，……	Hard 13 15 期友
无智慧的书，往往材料堆积得和蚁丘一样，议论虽多，见解毫无。	Complex 24 26 见解
他向负责科学研究的威尔逊要了十片吗啡，以便在必要时加快结束自己。	Hard 16 18 吗啡
也许是这里的奇峰交给他一副傲骨，这位比李白还老的疯诗人太不安分，长剑佩腰，满脑奇想，纵横中原，问天索地，最终投身汨罗江，一时把那里的江水，也搅起了三峡的波涛。	Complex 42 46 纵横中原
极目处，四野八荒，惟有黄色，尽是黄色。	Hard 0 2 极目
至于视觉经验，也都表现得很有动感：写荷花迎风则“红披绿偃，摇荡葳蕤”，写微风拂水则“细生鳞甲”，写流萤则“（幽火）班班，若骇若惊，奄忽去来”，写山则“森森欲下搏人”。	Hard 75 81 森森欲下搏人
到得岭下，早有七八十人都哄将来，先把死大虫抬在前面，将一乘兜轿，抬了武松，径投本处一个上户家来。	Hard 29 31 兜轿
他们衣着鲜艳，步态轻盈。	Complex 7 11 步态轻盈
（《礼记・坊记》）范仲淹所说“先天下之忧而忧，后天下之乐而乐”＂（《岳阳楼记》）也体现了这种精神。	Hard 23 30 后天下之乐而乐
转眼间,整个王国天昏地暗。	Complex 8 12 天昏地暗
不言而喻，在创造的宇宙里，贝多芬、爱因斯坦、莎士比亚是光辉灿烂的明星。	Complex 0 4 不言而喻
去的尽管去了，来的尽管来着；去来的中间，又怎样地匆匆呢？	Complex 24 26 匆匆
我们那里上学的岁数是多拣单数的，所以这使我记住我其时是七岁。	Hard 11 12 拣
于是分头四出，寻黑矮汉，寻梢长大汉，寻头陀，寻胖大和尚，寻茁壮妇人，寻姣长妇人，寻青面，寻歪头，寻赤须，寻美髯，寻黑大汉，寻赤脸长须。	Complex 35 37 姣长
“人文”这个词起源很早，《周易・责卦・彖辞》说：“观乎天文，以察时变；观乎人文，以化成天下。”	Hard 30 34 以察时变
在这儿，我已经笨拙地给你们介绍了住公寓套间的两个傻孩子不足为奇的平淡故事，他们极不明智地为了对方而牺牲了他们家最最宝贵的东西。	Complex 7 9 笨拙
虽然，弟子们也试着摘了几穗，但并不满意，便随手扔掉了。	Complex 12 13 穗
我用鞭子着实教训了它一顿。	Hard 4 6 着实
肚子里先有了这三个人作了底子，然后再把陶渊明、应玚，谢、阮、庾、鲍等人的一看。	Hard 30 31 庾
袁世凯称帝，最终失败，和陈宧关键时刻的倒戈有绝对关系。	Hard 12 14 陈宧
香菱笑道：“我只爱陆放翁的诗‘重帘不卷留香久，古砚微凹聚墨多’，说的真有趣！”	Hard 15 22 重帘不卷留香久
因为我们的许多白人兄弟已经认识到，他们的命运与我们的命运是紧密相连的，他们今天参加游行集会就是明证。	Complex 29 33 紧密相连
亲爱的家乡孩子们，我真羡慕你们。	Complex 11 13 羡慕
歌乐山下悟道	Hard 4 6 悟道
龙门是黄河上的一个古老的渡口，是陝西、山西两省的交通要道。	Hard 12 14 渡口
如果一个人用尽全身之力，把嗓门憋得尖尖的，发出“哦——啊”的叫声，虽说比不上大鹦鹉的气势，听起来也蛮像了。	Complex 49 50 蛮
补课完毕，她才看到窗外正飘洒着细细的雨丝。	Complex 12 14 飘洒
“妈妈”“妈妈”的喊声，震响在周围。	Complex 12 14 震响
要学有所成，就要“自迩”“自卑”开始，就要刻苦磨炼，持久积累。	Hard 9 11 自迩
如果秦王真的拿十五座城来换，我就把璧交给他；如果他不肯交出十五座城，我一定把璧送回来。	Complex 17 18 璧
那天傍晚，当轮船航行在相模滩的海面上的时候，那男人和他的妻子一起，带着他们的长子来到那位妇人的舱房。	Complex 47 49 舱房
有了秦腔，生活便有了乐趣，高兴了，唱“快板”，高兴得像被烈性炸药爆炸了一样，要把整个身心粉碎在天空！	Complex 19 21 快板
他并没有听到喘息声，他只是从梦里慢慢苏醒过来，觉得有条舌头在顺着他的一只手舔去。	Complex 37 38 舔
太阳光经过三棱镜或水滴的折射，会分成红、橙、黄、绿、蓝、靛、紫七种颜色。	Hard 28 29 靛
一个人呷了一口酒，幽幽地提出疑问。	Hard 3 4 呷
如果孕妇怀孕期间睾丸素水平较高，生下的孩子就更容易成为左撇子，也更容易在日后得心脏疾病和孤僻症。	Hard 8 11 睾丸素
战斗开始后的几十分钟里，一切顺利，伤员一次次带下来的消息，都是我们突破第一道鹿砦，第二道铁丝网，占领敌人前沿工事打进街了。	Hard 38 40 鹿砦
刘邓大军各部偃旗息鼓，星夜南下，一步步穿越大片淤泥埋没了屋顶的死亡地带——黄泛区。	Complex 23 25 淤泥
明屠本畯有一首诗，叙述煎荔枝的方法，说“旋沉荔花蜂酿蜜，清香不减蔗浆寒”，大概是关于荔枝蜜最早的记载。	Hard 0 4 明屠本畯
《东京梦华录》中所记述的街巷、酒楼、饮食果子，以及“天晓诸人入市”“诸色杂卖”等，都能在这画面中找到生动的图释。	Hard 34 36 诸色
少焉，月出寒阴，微明散布石上，松声倏然自万壑来，客皆悚视寂，觉境愈清，思愈远。	Hard 15 23 松声倏然自万壑来
蔡林把信纸放回信封里，小心折叠起来，放进口袋，大踏步回家去。	Complex 13 15 折叠
蝉刚把卵装满一个小孔，到稍高的地方另做新孔，蚋立刻来到这里。	Hard 22 23 蚋
银杏树，又叫白果树，它是几亿年前的树种，十分珍贵。	Complex 17 19 树种
万卡不是个娇滴滴的小姑娘，他那时才九岁，一个人孤零零地在城里当学徒，吃不饱，还要挨打，他伤心极了，盼望爷爷去救他，他是在恳求，在哭诉，绝不该有这种撒娇的腔调。	Complex 5 8 娇滴滴
人们纷纷指着毡靴，对爷爷说：	Complex 6 8 毡靴
我很兴奋，即刻就想去看看，却又矜持，不愿在同学面前显出我的迫不及待。	Complex 15 17 矜持
为了避雨，祖孙二人同那只黄狗，走到顺顺吊脚楼上去，挤在一个角隅里。	Hard 19 22 吊脚楼
此外，他还是个暴躁的小老头儿，极端瞧不起别人的温情，却认为自己是保护楼上两个青年艺术家的看家恶狗。	Complex 15 17 极端
有一天，一个英国士兵在清理战场时，突然挖出了一个丹麦人的头骨，他想到自己的祖国被侵战和破坏的情景，禁不住怒火万丈。	Complex 52 56 怒火万丈
“止水结冰是何情状？	Hard 7 9 情状
否则，鸠占鹊巢，李代桃僵，那屋内必是鸡飞狗跳，不得安宁。	Hard 8 12 李代桃僵
这些作品广为流传。	Complex 4 8 广为流传
我没有亲见；听说她，刘和珍君，那时是欣然前往的。	Complex 18 22 欣然前往
手术完成之后，用相同频率的电脉冲刺激换核卵，让苏格兰黑面羊的卵细胞质与芬多席特母羊乳腺细胞的核相互协调，使这个“组装”细胞在试管里经历受精卵那样的分裂、发育而形成胚胎的过程。	Hard 33 34 质
被子植物的花有了花被，更分化为花萼和花冠（花被和花冠通称花瓣）。	Hard 8 10 花被
可是，她拗不过老头子，也怕伤了儿子的心，不乐意也只得同意了。	Hard 4 5 拗
惟有朱子解的最好，他说：“主一无适便是敬。”	Hard 13 20 主一无适便是敬
福楼拜转动着蓝色的大眼睛盯着朋友这张白晳的脸，十分钦佩地听着。	Complex 25 27 钦佩
沙子还有一种医疗作用。	Complex 6 8 医疗
伏尔泰直接面对这种轻薄无聊而又凄惨忧郁的社会，独自一人，眼前是各种力量的联合，宫廷、贵族、金融界；这支不自觉的力量，是盲目的一大群人；这批无恶不作的法官，他们媚上欺下，俯伏于国王之前，凌驾于人民之上（喝彩）；这批虚伪、狂热、阴险兼而有之的神职人员，伏尔泰，我再说一遍，独自一人对这个社会一切丑恶力量的大联合，对这个茫茫的恐怖世界宣战，他接受战斗。	Complex 79 83 媚上欺下
可是，在自然看来，人类上下翻飞的这片巨大空间，不过是咫尺之间而已，就如同鲲鹏看待斥鴳一般，只是蓬蒿之间罢了。	Hard 36 38 鲲鹏
《千家诗》中很大一部分诗歌歌咏祖国风物，按春夏秋冬时序编排，打开书往下念，四季风光就活生生地展现在眼前：“成紫千红总是春”，“春城无处不飞花”；“绿树阴浓夏日长”，“五月榴花照眼明”；“青女素娥俱耐冷，月中霜里斗婵娟”；“梅雪争春未肯降，骚人搁笔费评章”……	Hard 101 108 月中霜里斗婵娟
妈妈抚摸着尤拉的头，说：“你可以带妹妹去玩，给小狗喝水，帮奶奶刷碗。”	Complex 5 7 尤拉
往日同游的朋友，虽然已经云散，然而鱼翅是不可不吃的，即使只有我一个……	Hard 12 14 云散
至于雨敲在鳞鳞千瓣的瓦上，由远而近，轻轻重重轻轻，夹着一股股的细流沿瓦槽与屋檐潺潺泻下，各种敲击音与滑音密织成网，谁的千指百指在按摩耳轮。	Hard 66 68 耳轮
这样一来，还不到天黑，全瓦尔杰茨基公国的人便无人不知弗里德里螦撒国王是“世界上最傻的傻瓜，傻瓜中的傻瓜”了，而警察局长第二天也就下台大吉。	Complex 22 26 无人不知
而且往往是白天休整进食，晚上摸黑前进。	Complex 14 16 摸黑
我大大地领略了一番这温暖而挨打的欢欣。	Complex 4 6 领略
我们已经把这个店铺过户过来了。	Complex 9 11 过户
刷完牙后，我会将多余的牙膏与水吐在曾用来洗澡的同一块布上，然后除去头发上的香波。	Hard 37 39 香波
卢诺尔曼兴奋地大叫起来，周围的人们一齐为他喝彩。	Complex 21 23 喝彩
没有充分的理由来为克隆人的行为在伦理学上进行辩护。	Complex 16 19 伦理学
有弗学，学之弗能弗措也；有弗问，问之弗知弗措也；有弗思，思之弗得弗措也；有弗辨，辨之弗明弗措也；有弗行，行之弗笃弗措也。	Hard 12 15 有弗问
这条发展的途径，中国建筑和欧洲希腊、罗马的古典建筑体系，乃至埃及和两河流域④的建筑体系是完全一样的，所不同者，是那些体系很早就含弃了木材而完全代以砖石为主要材料。	Complex 63 65 含弃
所有这一切难道不比眼前这种浮华的喧嚣更让人向往吗？	Complex 13 15 浮华
江南的地质丰腴而润泽，所以含得住热气，养得住植物；因而长江一带，芦花可以到冬至而不败，红叶亦有时候会保持三个月以上的生命。	Complex 5 7 丰腴
就要收庄稼了，收庄稼前，要把道路修一修，补一补，这是村里的风俗。	Hard 29 31 风俗
他攀上去后，其他几个年轻人也一上去，终于将塔刹的各部尺寸、做法测绘下来。	Complex 31 33 测绘
等到大批人群过去，又有一些人姗姗来迟，他们只要有兴趣在饥饿艺术家跟前停留，是不会再有人妨碍他们的了，但这些人为了能及时看到兽畜，迈着大步，匆匆而过，几乎连瞥也不瞥他一眼。	Complex 43 45 妨碍
）老人一声不响，却笑呵呵地伸手在烘缸里取出一个小小的烤山薯，往我手里一放说：“给你吃。”	Hard 16 18 烘缸
两人吃完饭坐在屋里，因屋前滨水，长脚蚊子一到黄昏就嗡嗡地叫着，翠翠便把蒿艾束成的烟包点燃，向屋中角隅各处晃着驱逐蚊子。	Hard 48 50 角隅
于是六国之士，有宁越、徐尚、苏秦、杜赫之属为之谋，齐明、周最、陈轸、召滑、楼缓、翟景、苏厉、乐毅之徒通其意，吴起、孙膑、带佗、倪良、王廖、田忌、廉颇、赵奢之伦制其兵。	Hard 37 39 楼缓
夸父又向北方跑去，想去喝大泽里的水。	Hard 12 14 大泽
莫高窟里还有一个面积不大的洞窟——藏经洞。	Complex 17 20 藏经洞
《红楼梦》是我在十二三岁时候看的，起初我对它的兴趣并不大，贾宝玉的女声女气，林黛玉的哭哭啼啼，都使我厌烦，还是到了中年以后再拿起这部书看时，才尝到“满纸荒唐言，一把辛酸泪”一个朝代和家庭的兴亡盛衰的滋味。	Hard 80 85 一把辛酸泪
自然，从古至今，大概是没有人在上面滑过雪展的。	Complex 3 7 从古至今
我们往往还会看到触须的颤抖和触角以及腹肌十分明显的运动：彼此盆开，然后突然并拢。	Hard 30 32 盆开
看见波涛涌来，双脚蹬着海底一跳，身体就被浪涛举到半空，接着又顺水波落下，其乐无穷。	Complex 36 40 其乐无穷
杨志道：“深谢恩相抬举。”	Hard 7 9 恩相
只见黛玉正拿着诗和他讲究。	Hard 10 12 讲究
今诸君苟不于此时植其基，勤其学，则将来万一因生计所迫，出而仕事，但任讲席，则必贻误学生；置身政界，则必贻误国家。	Hard 44 48 置身政界
那个人接过来翻来覆去地仔细看了一阵儿，又掂了掂分量，拿起一个放大镜，把他的伙计叫过来，小声嘀咕了几句，然后把项链放在柜台上，瞧瞧远看的效果如何。	Complex 45 47 嘀咕
他不怕任何艰难困苦，他富于弹性，倒下去立刻跳起来，碰伤了舐干血迹，若无其事，他以牺牲自我的意志征服一切。	Hard 28 29 舐
这么多的狮子，姿态不一，没有哪两只是相同的。	Complex 7 11 姿态不一
心中想着，忽见丫鬟话未报完，已进来了一位年轻的公子：头上戴着束发嵌宝紫金冠，齐眉勒着二龙抢珠金抹额；穿一件二色金百蝶穿花大红箭袖，束着五彩丝攒花结长穗宫绦，外罩石青起花八团倭缎排穗褂；登着青缎粉底小朝靴。	Hard 75 77 宫绦
妈妈说的羚羊是一只用黑色硬木雕成的工艺品。	Complex 13 15 木雕
解放以来，我们的地质部、石油部、中国科学院的工作人员已经好几次横穿新疆塔克拉玛干大戈壁，并没有什么鬼怪离奇的东西阻挡了他们的行进，这是什么缘故呢？	Complex 49 53 鬼怪离奇
有一些科学家不同意“演习说”。	Hard 10 12 演习
桌子也是后来才有的，古代只有“几”“案”，都是很矮的，适应席地而坐的习惯，后来坐高了，几案也不得不加高，于是有了新的名称，最初就叫“卓子”(“卓”是高而直立的意思)，后来才把“卓”写做“桌”。	Complex 18 19 案
李逵也不答应他，便就地下掳了银子，又抢了别人赌的十来两银子，都搂在布衫兜里，睁起双眼说道：“老爷闲常赌直，今日权且不直一遍。”	Hard 50 52 赌直
邢夫人苦留吃过晚饭去，黛玉笑回道：“舅母爱惜赐饭，原不应辞，只是还要过去拜见二舅舅，恐领了赐去不恭，异日再领，未为不可。	Hard 55 59 未为不可
巢窠散落在地面上，小耗子又会发现它们，将毡靴的残毛搬进自己地下的窝中。	Hard 0 2 巢窠
不久，一道道的美味就上来了，有葛根粥、蕨叶炒山姜（月桃的块茎）、野菜炒虾仁、山刺瓜姜荡、烤鱼、烤虾，上面撒了山胡椒粉，还有在火堆里焖熟的天门冬块根，真是丰盛极了。	Complex 19 21 蕨叶
我们的服装包括一件棉T恤，一条棉短裤和一双汗袜。	Complex 21 23 汗袜
先生家里有人把锁匙从门缝里递出来，我拿了跑回去，开了门，坐下念生书。	Complex 10 12 门缝
吃饭时，凤姐与鸳鸯商议要拿刘姥姥取个笑儿。	Hard 18 20 笑儿
2008名乐手击缶吟诵，那吟声细细听来，分明是:“有朋自远方来，不亦乐乎？”	Hard 7 11 击缶吟诵
狂风吹来了，洪水冲来了，冰河爬来了，碎石、沙砾、泥土被它们带着，开始了旅行。	Complex 21 23 沙砾
许先生说鸡鸣的时候，鲁迅先生还是坐着，街上的汽车嘟嘟的叫起来了，	Complex 24 26 嘟嘟
有时直立起来，状似舞蹈；有时背倚石头，坐在草地上悠然自得地啃着竹枝；有时团作一团，漫不经心地随地打滚；有时拖着笨拙的身体，摇摇晃晃地在草地上玩耍。	Complex 24 28 悠然自得
在林间草地上我意外地发现了一颗晚熟的硕大草莓。	Complex 15 17 晚熟
至于公和私的关系，人和己的关系，应以人为先，正如孔子所说：“君子贵人而残己，先人而后己。”	Hard 38 43 先人而后己
三座大殿矗立在七米多高的白石台基上。	Hard 4 6 矗立
打倒那劣绅和土豪！	Complex 6 8 土豪
我一起锅就吃，比你们还先吃呢。	Complex 1 4 一起锅
有几个女人拗不过孩子的欲望，便给他们买了最便宜的小洋囝囝。	Hard 26 28 囝囝
况且这通身的气派，竟不像老祖宗的外孙女儿，竟是个嫡亲的孙女。	Complex 3 5 通身
四百多年里，它剥蚀了古殿檐头浮夸的琉璃，淡褪了门壁上炫耀的朱红，坍圮了一段段高墙又散落了玉砌雕栏，祭坛四周的老柏树愈见苍幽，到处的野草荒藤也都茂盛得自在坦荡。	Complex 12 14 檐头
站在罗布泊边缘，你能看清那一道道肋骨的排列走向，看到沧海桑田的痕迹，你会感到这胸膛里面深藏的痛苦与无奈。	Complex 16 18 肋骨
大熊猫是我国国宝，已列为国家一级保护动物，也是世界珍稀动物中的重点保护对象。	Complex 25 29 珍稀动物
徽曰：“孔明与博陵崔州平、颍川石广元、汝南孟公威与徐元直四人为密友。	Hard 0 1 徽
细末里头不免掺和着铁臼上磨下来的铁屑，他们利用吸铁石除掉它。	Hard 9 11 铁臼
当时已经用灌气的球代替了用鬃毛填充的球，而且有了球门和规则的球场，设备器材方面也逐渐完善。	Hard 13 15 鬃毛
阿拉伯人是对沙漠广有经验的民族，阿拉伯语中称这一现象为“魔鬼的海”。	Hard 28 30 魔鬼
“神女”一词终于由瑰丽走向淫邪，无论哪一种都与健全的个体生命相去遥遥。	Complex 9 11 瑰丽
狂风大作的时候我在温暖的室内，却不会想到风是如何污辱我和我的树苗的——它把我的树从窗台上抱起来，砸在河边石埠上，然后又把树苗从花盆里拖出来，推向河水里，将一只破碎的花盆和一抔泥土留在岸上，留给我。	Complex 24 26 污辱
但门槛是母亲的位置。	Complex 1 3 门槛
李震说“河水很深，不能徒涉。”	Hard 11 13 徒涉
记得一次教辛弃疾的词《南乡子登京口北固享有怀》，老师朗诵时头与肩膀左右摇摆着，真是悲歌慷慨，我们这些做学生的，爱国情怀油然而生。	Complex 59 63 油然而生
这样布置后，它打开了它的云库，拨给这区域的，有倏来倏去的云，扑朔迷离的雾，绮丽多彩的霞光，雪浪滚滚的云海。	Hard 23 27 倏来倏去
徽曰：“孔明与博陵崔州平、颍川石广元、汝南孟公威与徐元直四人为密友。	Hard 19 22 汝南孟
转了两个弯儿，出现岔口，那年轻人说：“谢谢啦，您自便吧……”	Complex 9 11 岔口
经过三年又九个月，他们终于在成吨的矿渣中提炼出了0.	Complex 20 22 提炼
州平曰：“山野之夫，不足与论天下事，适承明问，故妄言之。”	Hard 18 22 适承明问
他开始跑起来，将外套、皮靴、水袋与帽子一件一件扔掉，只留下铁锨做拐杖。	Hard 29 31 铁锨
爱默生认为，每一个人都应当与这世界上的劳作保持着基本关系。	Complex 0 3 爱默生
否则，我们将无面目对子孙后辈讲述这一段光荣历史了。	Complex 10 14 子孙后辈
他家的二小姐着实爽快，会待人的，倒不拿大，如今现是荣国府贾二老爷的夫人，听见他们说，如今上了年纪，越发怜贫恤老的了，又爱斋僧布施。	Hard 18 20 拿大
彝家有一句谚语：过年是嘴巴的节日，火把节是眼睛的节日。	Hard 0 2 彝家
有一种人，读书虽然不多，但他对于人情事理，都很通达，凭借经验，运用心得，“官知止而神欲行，依乎天理，批大郤，导大窾”。	Hard 54 57 导大窾
他们将自己的手掌按在石头上，然后往上喷赭色或者黑色的粉末。	Hard 19 21 赭色
可我们楼前池塘中独独缺少荷花。	Complex 8 10 独独
自然是江南日暮的雪景；“寒沙梅影路，微雪酒香村”，则雪月梅的冬宵三友，会合在一道，在调戏酒姑娘了；“柴门闻犬吠，风雪夜归人”，是江南雪夜更深人静后的景况；“前村深雪里，昨夜一枝开”，又到了第二天的早晨，和狗一样喜欢弄雪的村童来报告村景了。	Hard 12 17 寒沙梅影路
我回到堂前，看见中堂挂着的立轴──吴昌硕描的墨竹，似觉更有意味。	Hard 13 15 立轴
“绿”字描绘出了江南春风的气韵，引出下句“明月何时照我还”。	Hard 27 28 还
月光照进窗子来，屋子里的一切好像披上了银纱，显得格外的清幽。	Complex 27 29 清幽
观其大略同样需要认真读书，只是不死抠一字一句，不因小失大，不为某一局部而放弃了整体。	Complex 0 4 观其大略
积成峁，堆成墚，又堆积成一大片一大片的塬。	Hard 19 20 塬
哈姆莱特那不过是一种傻气的心理；可是一个女人也许会因为这种莫名其妙的疑虑而惶惑。	Complex 0 4 哈姆莱特
他们都不以家乡为终点，就像三峡的水拼着全力流注四方。	Complex 21 25 流注四方
并且，我想就是来得大些，也不见得如人们所大吹的那么“奇观”，自己从前所幻想的那么奇目吧？	Hard 40 42 奇目
和乌鸦很相像的那种怪样子的墨鸭，整排地停在舷上，它们的脚是用绳子吊住了的，下水捕鱼，起水的时候船户就在它的颈子上轻轻地一挤！	Hard 21 22 舷
啪啪声里，一道道浆，衔接得天衣无缝，刷过去的墙面，真好比平平整整打开一面雪白的屏障。	Complex 13 17 天衣无缝
在中国最早的新闻学著作之一《实际应用新闻学》中，邵飘萍主张记者“其脑筋无时休息，其耳目随处警备，网罗世间一切事物而待其变。”	Hard 45 47 警备
你们试看那些繁殖在南美各地自由自在地生活着的马匹吧：它们行走着，它们奔驰着，它们腾跃着，既不受拘束，又没有节制；它们因不受羁勒而感觉自豪，它们避免和人打照面；它们不屑于受人照顾，它们能够自己寻找适当的食料；它们在无垠的草原上自由地游荡、蹦跳，采食着四季皆春的气候不断提供的新鲜产品；它们既无一定的住所，除了晴明的天空外又别无任何庇荫，因此它们呼吸着清新的空气，这种空气，比我们压缩它们应占的空间而禁闭它们的那些圆顶宫殿里的空气，要纯洁得多，所以那些野马远比大多数家马来得强壮、轻捷和遒劲。	Complex 241 243 遒劲
现在，湖底的树干，古老的独木舟，黑魆魆的四周的林木，都没有了，村民本来是连这个湖在什么地方都不知道的，如今却想到用一根管子来把这些湖水引到村中去洗碗洗碟子了。	Hard 16 19 黑魆魆
中国使者抱拳，作揖还礼：“有劳将军远迎。	Hard 7 11 作揖还礼
更兼单身客人，亦不敢独自经过。	Hard 0 2 更兼
紧接着，香烟又举到唇际，烟头闪耀，还是吸得那么深，那么狠，烟灰一个劲地延伸，然后折断，然后跌落……	Complex 9 11 唇际
穿在身上的100多磅重的铠甲，只能部分地分散我身上的负重。	Hard 9 10 磅
自然，也可以扩大精神，增加智识的，但这些倒都不计及，一计及，便等于意在赢钱的博徒了，这在博徒之中，也算是下品。	Hard 23 25 计及
袁世凯的亲信陈宧对章太炎的评价更高，因为章太炎最初见到陈宧时，便说过陈宧这人是第一等人物，然而日后灭亡民国者，必此人无疑。	Hard 6 8 陈宧
在一秒钟之内，我们就把枪弹上了膛，过度的兴奋竟使我们无法瞄准。	Complex 28 30 瞄准
响尾蛇每次蜕皮时最后一个鳞片都不能脱落而加在末端，鳞环记录着岁月的痕迹，也是它慢慢聚敛的财富。	Hard 25 27 鳞环
虽然远处大片大片的花与蒙蒙细雨融在一起，低头却能清晰地看到，在冷雨中，每一朵小花都傲然挺立，明亮夺目，神气十足。	Complex 46 50 明亮夺目
到了仲夏，呜蝉将在你的浓阴下长啸，等一场台风袭过，那啰哕蝉鸣变成了凄切的哀吟，天气也随之凉爽起来。	Hard 26 30 啰哕蝉鸣
